CO,NO2,O3,SO2,PM2.5,PM10,City
213.62,0.96,72.24,0.34,3.17,4.6,Springdale
193.6,1.46,77.25,0.22,6.69,6.91,Bay
155.21,1.31,40.05,0.39,0.5,0.62,Apple Valley
168.56,2.27,85.83,0.49,2.79,6.68,Brockton
243.66,4.63,60.8,0.78,4.02,4.22,Poinciana
188.59,1.04,124.45,1.06,5.59,7.52,Davis
243.66,0.71,82.25,0.37,4.77,5.1,Springfield
257.02,4.07,52.21,0.78,6.56,7.72,Saint Louis
226.97,1.41,46.49,0.08,1.0,1.09,Lehigh Acres
183.58,1.41,127.32,0.43,2.68,5.73,Henderson
230.31,14.4,89.41,4.71,8.58,19.15,Yonkers
216.96,1.5,100.14,0.48,11.5,21.64,Toms River
163.56,3.81,69.38,0.76,2.57,4.16,Cambridge
250.34,3.0,55.79,1.4,3.87,6.16,Spring Valley
236.99,3.77,89.41,1.13,7.55,10.09,Wilmington
161.89,2.79,60.08,2.68,1.62,4.11,Edinburg
191.93,4.16,174.52,4.59,10.1,16.14,Glendale
201.94,0.38,45.78,0.06,0.65,0.75,Abilene
151.87,0.68,63.66,1.8,0.52,0.59,Bismarck
213.62,0.71,77.96,0.26,4.12,5.27,Lawton
161.89,0.46,81.54,0.15,2.61,2.88,Rockford
163.56,0.72,103.0,0.24,3.0,3.5,Redding
203.61,1.52,48.64,0.06,0.63,0.73,Johnson City
205.28,0.53,66.52,0.1,5.3,11.94,San Tan Valley
165.22,0.56,111.58,1.18,3.12,7.01,Provo
243.66,3.77,72.24,0.98,4.44,5.62,Deerfield Beach
153.54,1.05,91.55,1.45,8.47,24.45,Alexandria
163.56,1.21,85.12,0.86,4.54,5.11,Portland
236.99,6.17,237.47,9.78,24.96,34.3,East Los Angeles
273.71,2.29,100.14,0.7,3.75,3.84,Warren
220.3,0.48,44.7,0.17,0.89,1.1,Auburn
273.71,8.57,100.14,1.33,8.01,8.21,Kissimmee
233.65,2.64,57.94,0.53,1.42,2.15,Grand Prairie
216.96,0.7,66.52,0.26,1.59,1.79,Chattanooga
233.65,2.66,240.33,7.45,28.2,34.9,Ontario
176.91,0.86,153.07,1.21,7.94,9.59,Visalia
233.65,2.08,87.98,1.73,3.89,4.37,Clarksville
151.87,0.47,83.69,0.09,1.64,2.17,Kennewick
236.99,6.17,237.47,9.78,24.96,34.3,Pasadena
206.95,1.01,27.9,0.37,1.98,4.63,Saint George
253.68,6.77,57.22,1.51,3.49,4.46,Davie
226.97,0.42,66.52,0.18,4.49,5.1,Clearwater
223.64,3.3,55.08,0.4,4.72,5.04,Port Saint Lucie
353.81,28.79,30.4,3.93,4.06,4.37,Pittsburg
180.24,5.36,91.55,1.22,2.71,5.95,Medford
226.97,1.24,61.51,0.35,1.54,2.2,North Richland Hills
216.96,3.21,97.28,0.51,4.68,4.94,Skokie
250.34,3.0,55.79,1.4,3.87,6.16,Missouri City
257.02,8.74,51.5,1.43,2.54,3.39,Miramar
186.92,5.18,98.71,1.45,3.86,8.58,Union City
165.22,1.44,121.59,1.25,4.13,8.4,West Jordan
233.65,0.9,85.83,0.82,3.22,3.48,Evansville
243.66,1.78,72.96,1.06,2.46,3.06,The Woodlands
253.68,6.6,67.95,0.48,5.77,6.09,Town 'n' Country
267.03,1.3,101.57,0.44,3.79,3.88,Rochester Hills
216.96,0.65,51.5,0.09,1.33,1.59,Suffolk
173.57,0.4,83.69,0.63,3.97,6.08,Colorado Springs
230.31,2.21,75.82,0.6,2.04,2.8,Lewisville
247.0,2.7,43.99,0.1,0.9,1.33,Santa Maria
226.97,2.01,60.8,3.25,1.85,3.19,Mount Pleasant
193.6,0.95,86.55,0.14,4.35,4.49,Schaumburg
185.25,2.34,171.66,2.24,12.66,17.28,Manteca
161.89,9.0,46.49,1.67,1.12,1.54,Birmingham
